CPF,EMAIL,EMPRESA,ESTADO,SALARIO
362.418.524-18,miguel@email.com.br,Facebook,MG,"R$ 27.211,00"
742.316.671-52,sophia@empresa.com.br,Plastic Co.,DF,"R$ 6.971,00"
725.732.024-10,davi@hotmail.com,Facebook,SC,"R$ 10.465,00"
188.944.026-49,alice@empresa.com.br,GGTT,AL,"R$ 39.010,00"
432.594.262-99,arthur@email.com.br,Governo Federal,PE,"R$ 8.726,00"
475.250.344-19,julia@email.com.br,Uber,RO,"R$ 24.250,00"
637.637.477-88,pedro@uol.com.br,Facebook,DF,"R$ 8.679,00"
787.264.677-39,isabella@uol.com.br,Enum G.,RO,"R$ 37.303,00"
868.492.285-95,gabriel@outlook.com,Facebook,AM,"R$ 32.446,00"
576.014.456-15,manuela@empresa.com.br,For Men,PA,"R$ 3.898,00"
275.350.246-37,bernardo@empresa.com.br,Plastic Co.,PA,"R$ 19.380,00"
807.471.149-86,laura@empresa.com.br,For Men,RS,"R$ 24.924,00"
960.265.431-71,lucas@uol.com.br,GGTT,RS,"R$ 43.695,00"
274.737.669-96,luiza@uol.com.br,Raro Efeito,RS,"R$ 20.376,00"
235.901.289-41,matheus@uol.com.br,Google,CE,"R$ 1.242,00"
150.711.441-90,valentina@hotmail.com,For Men,MG,"R$ 19.111,00"
436.698.036-37,rafael@gmail.com,Raro Efeito,TO,"R$ 33.213,00"
120.516.031-03,giovanna@hotmail.com,CCEE,SP,"R$ 9.602,00"
118.272.374-81,heitor@hotmail.com,Google,PB,"R$ 30.471,00"
942.637.660-75,mariaeduarda@email.com.br,Google,MT,"R$ 16.012,00"
735.781.301-09,enzo@uol.com.br,Enum G.,PA,"R$ 15.624,00"
172.140.294-21,helena@email.com.br,UMAL,SC,"R$ 35.781,00"
788.776.187-52,guilherme@uol.com.br,Governo Federal,RN,"R$ 2.458,00"
886.603.502-51,beatriz@gmail.com,CCEE,SE,"R$ 43.337,00"
169.340.124-02,nicolas@hotmail.com,GGTT,PR,"R$ 28.927,00"
664.162.665-20,marialuiza@empresa.com.br,Facebook,SE,"R$ 39.041,00"
302.708.036-96,lorenzo@yahoo.com,UMAL,SE,"R$ 8.116,00"
279.024.658-01,lara@yahoo.com,Spotify,MA,"R$ 36.315,00"
804.768.054-49,gustavo@yahoo.com,GGTT,SC,"R$ 34.494,00"
447.563.912-30,mariana@gmail.com,Clothing,RS,"R$ 20.862,00"
242.750.306-13,felipe@email.com.br,Netflix,CE,"R$ 23.662,00"
824.070.835-80,nicole@uol.com.br,Facebook,SC,"R$ 41.803,00"
340.046.283-77,samuel@outlook.com,AirBnB,GO,"R$ 29.712,00"
993.007.697-23,rafaela@uol.com.br,Facebook,RS,"R$ 40.567,00"
681.592.928-05,joaopedro@outlook.com,Google,ES,"R$ 25.411,00"
952.738.566-04,heloisa@empresa.com.br,Spotify,BA,"R$ 19.303,00"
789.952.323-07,daniel@gmail.com,A&B,SP,"R$ 13.786,00"
522.512.348-10,isadora@empresa.com.br,Uber,PE,"R$ 5.748,00"
506.336.797-63,vitor@hotmail.com,UMAL,PI,"R$ 33.916,00"
904.364.824-87,livia@outlook.com,Plastic Co.,RN,"R$ 44.022,00"
690.534.776-08,leonardo@uol.com.br,Google,AM,"R$ 36.671,00"
229.959.344-62,mariaclara@gmail.com,GGTT,RR,"R$ 30.729,00"
397.486.950-69,henrique@email.com.br,Google,SE,"R$ 30.201,00"
939.963.988-67,anaclara@uol.com.br,Brasil Ent.,PI,"R$ 8.951,00"
984.574.525-33,theo@empresa.com.br,Raro Efeito,DF,"R$ 41.751,00"
211.696.427-05,lorena@outlook.com,Plastic Co.,AC,"R$ 39.110,00"
373.314.678-67,murilo@yahoo.com,Plastic Co.,RR,"R$ 39.760,00"
526.441.687-75,gabriela@yahoo.com,CCEE,BA,"R$ 15.864,00"
702.488.852-00,eduardo@yahoo.com,For Men,MS,"R$ 41.137,00"
759.875.814-00,yasmin@empresa.com.br,For Men,GO,"R$ 32.455,00"
